"PART LOCATION INDEX FILE"
"Part","Package","Side","X (inch)","Y (inch)","X (mm)","Y (mm)","Angle",
"C1","CAPC1005X60N","Top","    0.1496","    2.1693","    3.8000","   55.1000","   0.00"
"C2","CAPC1005X60N","Top","    1.2795","    2.4016","   32.5000","   61.0000","  90.00"
"C3","CAPC1005X60N","Top","    1.0000","    2.4213","   25.4000","   61.5000"," 270.00"
"C4","CAPC1005X60N","Top","    0.5413","    2.3327","   13.7500","   59.2500","  90.00"
"C5","CAPC1608X92N","Top","    0.4626","    2.3327","   11.7500","   59.2500","  90.00"
"C6","CAPC1608X92N","Top","    0.1969","    2.3228","    5.0000","   59.0000","  90.00"
"C7","CAPC1005X60N","Top","    0.2953","    2.3228","    7.5000","   59.0000","  90.00"
"C8","CAPC1005X60N","Top","    0.3937","    2.3425","   10.0000","   59.5000","  90.00"
"C9","C1206-TANT","Top","    1.4823","    3.4941","   37.6500","   88.7500","   0.00"
"C10","CAPC1608X92N","Top","    1.4055","    2.5591","   35.7000","   65.0000","   0.00"
"C11","CAPC1005X60N","Top","    1.3780","    2.6181","   35.0000","   66.5000","   0.00"
"C12","CAPC1608X92N","Top","    1.2835","    2.5591","   32.6000","   65.0000"," 180.00"
"C13","CAPC1005X60N","Top","    1.2795","    2.6181","   32.5000","   66.5000"," 180.00"
"C14","CAPC1608X92N","Top","    0.8465","    3.3898","   21.5000","   86.1000"," 180.00"
"C15","CAPC1608X92N","Top","    1.6929","    3.1437","   43.0000","   79.8500","   0.00"
"C16","CAPC1005X60N","Top","    0.7992","    2.6122","   20.3000","   66.3500"," 180.00"
"C17","CAPC1005X60N","Top","    0.7992","    2.6713","   20.3000","   67.8500"," 180.00"
"C18","CAPC1005X60N","Top","    0.8366","    3.3071","   21.2500","   84.0000","  90.00"
"C19","CAPC1005X60N","Top","    0.7579","    3.3071","   19.2500","   84.0000","  90.00"
"C20","CAPC1005X60N","Top","    1.4961","    2.6673","   38.0000","   67.7500"," 180.00"
"C21","CAPC1005X60N","Top","    1.4961","    2.7264","   38.0000","   69.2500"," 180.00"
"C22","CAPC1005X60N","Top","    2.0866","    2.2047","   53.0000","   56.0000"," 270.00"
"C23","CAPC1005X60N","Top","    1.9390","    3.7992","   49.2500","   96.5000"," 270.00"
"C24","CAPC1608X92N","Top","    0.9488","    2.5000","   24.1000","   63.5000"," 180.00"
"C25","CAPC3225X168N","Top","    0.1378","    1.8346","    3.5000","   46.6000"," 180.00"
"C26","CAPC1005X60N","Top","    0.3543","    2.0079","    9.0000","   51.0000"," 180.00"
"C27","CAPC1005X60N","Top","    0.8661","    1.7913","   22.0000","   45.5000"," 180.00"
"C29","CAPC3225X168N","Top","    0.4429","    1.4075","   11.2500","   35.7500","  90.00"
"C30","CAPC1005X60N","Top","    0.3740","    0.6890","    9.5000","   17.5000","   0.00"
"C31","CAPC1608X92N","Top","    0.8661","    2.0276","   22.0000","   51.5000","   0.00"
"C32","NICHICON-WX-6.3","Top","    1.6339","    2.2441","   41.5000","   57.0000"," 270.00"
"C33","CAPC1005X60N","Top","    2.4803","    1.8504","   63.0000","   47.0000"," 270.00"
"C34","CAPC1005X60N","Top","    2.2835","    2.0276","   58.0000","   51.5000","  90.00"
"C35","CAPC1608X92N","Top","    1.9685","    2.1850","   50.0000","   55.5000"," 270.00"
"C36","C1210","Top","    1.8150","    1.6142","   46.1000","   41.0000"," 270.00"
"C37","CAPC1005X60N","Top","    2.1949","    3.4843","   55.7500","   88.5000","  90.00"
"C38","C1210","Top","    2.4213","    1.1811","   61.5000","   30.0000"," 270.00"
"C39","CAP-CHEMI-HA0","Top","    2.3622","    2.8346","   60.0000","   72.0000","   0.00"
"C40","CAPC1005X60N","Top","    2.3917","    3.2283","   60.7500","   82.0000"," 270.00"
"C41","CAPC1005X60N","Top","    2.3031","    1.4961","   58.5000","   38.0000","  90.00"
"C42","CAPC1005X60N","Top","    2.1299","    1.2008","   54.1000","   30.5000"," 270.00"
"C43","CAPC1005X60N","Top","    1.6929","    1.1024","   43.0000","   28.0000"," 270.00"
"C44","CAPC1005X60N","Top","    2.0669","    0.9449","   52.5000","   24.0000"," 270.00"
"C45","CAPC1005X60N","Top","    1.2008","    1.4764","   30.5000","   37.5000"," 270.00"
"C46","CAPC1005X60N","Top","    0.1673","    2.1043","    4.2500","   53.4500"," 180.00"
"C47","C1210","Top","    1.7244","    1.2402","   43.8000","   31.5000"," 270.00"
"C48","CAPC1608X92N","Top","    0.8661","    1.9094","   22.0000","   48.5000","   0.00"
"C49","CAPC1005X60N","Top","    0.7992","    2.4606","   20.3000","   62.5000","   0.00"
"C50","CAPC1608X92N","Top","    2.4213","    1.4961","   61.5000","   38.0000","  90.00"
